platform,search_term,product_name,brand,price_inr,mrp_inr,discount_pct,price_tier,rating,review_count,scraped_at
Amazon.in,perfume,Lattafa Atlas Unisex Eau De Parfum 55ML - LUP Atlas 55,Lattafa,3630.0,66.0,-5400.0,Premium,,,2026-04-24 14:18:06.170824+00:00
Amazon.in,perfume,Bond No. 9 Sutton Place 3.4 oz (100 ml) Eau de Parfum Spray for Men,Bond,,,,Unknown,,,2026-04-24 14:18:06.171116+00:00
Amazon.in,perfume,"Dior Fahrenheit Eau De Toilette Spray For Men, 100ml (Wood)",Dior,15899.0,158.99,-9900.0,Luxury,,,2026-04-24 14:18:06.171465+00:00
Amazon.in,perfume,"Nisara Vanilla Rush Perfume for woman 100 ml Long Lasting smell Ambery Vanilla Perfume with Orchid,Caramel, Amber, Musk, Patchouli | Eau De Parfum Spray - 100ml",Nisara,749.0,,,Mid-range,,,2026-04-24 14:18:06.171837+00:00
Amazon.in,perfume,French Essence Bloom Eau de Parfum for Women | Long-Lasting Luxury Perfume | Ideal Gift for Wife & Girlfriend |30 ml,French,143.0,476.67,70.0,Budget,,,2026-04-24 14:18:06.172200+00:00
Amazon.in,perfume,"Layer’r Wottagirl! Body Splash Combo for Women 60ml Pack of 4 (240ml) | Amber Kiss, Secret Crush, Mandarin Twist & French Peony | Long-Lasting Premium Body Mists | Everyday Wear | Perfume Gift Set",Layer’r,304.0,126.67,-140.0,Budget,,,2026-04-24 14:18:06.172558+00:00
Flipkart,perfume,BELLAVITA White OUD Unisex perfume |Long Lasting Fragrance|Fruity Notes Eau de Parfum  -  50 ml,BELLAVITA,299.0,,,Budget,4.6,,2026-04-24 14:18:15.450995+00:00
Flipkart,perfume,BLA BLI BLU Love Drunk Perfume for Men & Women|Cinnamon & Date Notes Long Lasting Perfume  -  30 ml,BLA,222.0,,,Budget,4.4,,2026-04-24 14:18:15.451832+00:00
Flipkart,perfume,DENVER Luxury Collection Unisex Gift Pack (20ml x 4) Perfume  -  80 ml,DENVER,451.0,,,Budget,4.3,,2026-04-24 14:18:15.452238+00:00
Flipkart,perfume,BELLAVITA DEVIL perfume for Men & Women with Spicy & Woody Notes|Long Lasting Fragrance| Eau de Parfum  -  100 ml,BELLAVITA,449.0,,,Budget,4.2,,2026-04-24 14:18:15.452658+00:00
Flipkart,perfume,SKINN by TITAN Raw Eau de Parfum  -  50 ml,SKINN,1716.0,,,Mid-range,4.4,,2026-04-24 14:18:15.453065+00:00
Flipkart,perfume,RIYA Bindas & Born Rich Perfume For Men | Pack of 2 50 ML Each Eau de Parfum  -  100 ml,RIYA,218.0,,,Budget,4.2,,2026-04-24 14:18:15.453481+00:00
Flipkart,perfume,BELLAVITA Discovery Perfume Gift Set for Men|7x8ML|Long Lasting Fragrances| Eau de Parfum  -  56 ml,BELLAVITA,499.0,,,Budget,4.3,,2026-04-24 14:18:15.453889+00:00
Flipkart,perfume,BELLAVITA POLAR BREEZE Perfume for Men|Citrusy & Woody Notes|Long Lasting Fragrance| Eau de Parfum  -  100 ml,BELLAVITA,349.0,,,Budget,4.1,,2026-04-24 14:18:15.454286+00:00
Flipkart,perfume,"BELLAVITA Date Perfum Notes of Pink Pepper, Red Fruits Eau de Parfum  -  100 ml",BELLAVITA,565.0,,,Mid-range,4.5,,2026-04-24 14:18:15.454701+00:00
Flipkart,perfume,DENVER Imperial Perfume-Premium and Long Lasting Eau de Parfum  -  100 ml,DENVER,332.0,,,Budget,4.3,,2026-04-24 14:18:15.455102+00:00
Flipkart,perfume,BOMBAY SHAVING COMPANY Tokyo Perfume| Premium Fragrance Gift| Fresh & Woody Eau de Parfum  -  100 ml,BOMBAY,248.0,,,Budget,4.0,,2026-04-24 14:18:15.455497+00:00
Flipkart,perfume,BOMBAY SHAVING COMPANY Cairo Perfume | Premium Fragrance Gift Eau de Parfum  -  100 ml,BOMBAY,357.0,,,Budget,4.1,,2026-04-24 14:18:15.455902+00:00
Flipkart,perfume,RIYA Bindas Perfume | Long Lasting Fragrance | Combo of 2 Eau de Parfum  -  200 ml,RIYA,400.0,,,Budget,4.4,,2026-04-24 14:18:15.456306+00:00
